Participant ID,Shape,Color,Reaction Time (ms),Error
10,triangle,red,341.0,0
10,X,yellow,,0
10,minus,yellow,,0
10,minus,green,,0
10,minus,red,374.0,0
10,triangle,green,,0
10,minus,orange,,0
10,minus,orange,,0
10,circle,red,332.0,0
10,arrow,red,371.0,0
10,X,red,335.0,0
10,X,orange,,0
10,square,yellow,,0
10,square,red,604.0,0
10,minus,blue,,0
10,circle,red,317.0,0
10,X,red,395.0,0
10,triangle,yellow,,0
10,triangle,red,333.0,0
10,arrow,orange,,0
10,arrow,red,333.0,0
10,square,orange,,0
10,circle,yellow,,0
10,circle,red,328.0,0
10,circle,red,317.0,0
10,minus,red,377.0,0
10,circle,blue,,0
10,arrow,red,427.0,0
