Participant ID,Shape-Color,Reaction Time (ms),Error,TestType
2,red-circle,,0,icons
2,red-triangle,,0,icons
2,yellow-arrow,694,0,icons
2,red-arrow,635,0,icons
2,red-minus,,0,icons
2,blue-circle,,0,icons
2,yellow-arrow,476,0,icons
2,blue-arrow,454,0,icons
2,green-arrow,430,0,icons
2,green-triangle,,0,icons
2,yellow-arrow,456,0,icons
2,blue-arrow,648,0,icons
2,yellow-arrow,816,0,icons
2,orange-X,,0,icons
2,blue-arrow,671,0,icons
2,green-arrow,755,0,icons
2,red-arrow,817,0,icons
2,red-square,,0,icons
2,yellow-triangle,,0,icons
2,blue-square,,0,icons
2,green-arrow,488,0,icons
2,green-circle,,0,icons
2,yellow-arrow,906,0,icons
2,yellow-arrow,905,0,icons
2,red-circle,,0,icons
2,green-square,,0,icons
2,yellow-arrow,946,0,icons
2,orange-square,,0,icons
3,orange-square,600,0,icons
3,blue-minus,,0,icons
3,yellow-circle,,0,icons
3,green-minus,,0,icons
3,yellow-square,429,0,icons
3,blue-square,473,0,icons
3,yellow-triangle,,0,icons
3,green-circle,,0,icons
3,blue-square,338,0,icons
3,yellow-square,563,0,icons
3,red-square,297,0,icons
3,green-circle,,0,icons
3,yellow-circle,,0,icons
3,green-square,339,0,icons
3,yellow-X,,0,icons
3,blue-minus,,0,icons
3,blue-arrow,,0,icons
3,green-square,357,0,icons
3,blue-circle,,0,icons
3,yellow-circle,,0,icons
3,orange-triangle,,0,icons
3,red-square,341,0,icons
3,blue-square,467,0,icons
3,blue-square,310,0,icons
3,blue-minus,,0,icons
3,green-square,459,0,icons
3,blue-square,353,0,icons
3,orange-circle,,0,icons
3,orange-square,352,0,icons
3,yellow-square,327,0,icons
3,red-circle,,0,icons
3,red-minus,,0,icons
3,orange-circle,,0,icons
3,red-triangle,,0,icons
3,red-square,431,0,icons
3,red-square,343,0,icons
3,green-square,310,0,icons
3,blue-square,308,0,icons
3,red-square,307,0,icons
3,green-minus,,0,icons
4,red-circle,,0,icons
4,yellow-X,395,0,icons
4,red-X,318,0,icons
